"partner_id","organization_name","email","status","no_of_messages"
"1001","Dynamic Technologies","usere50f8cc5@dynamictechnologies.com","active","4372"
"1001","Global Corporation","userd8012792@globalcorporation.com","active","8915"
"1001","Modern Services","user08354ccc@modernservices.com","active","972"
"1001","Advanced Technologies","usera23c2520@advancedtechnologies.com","active","8418"
"1001","Premier Corporation","user0f813e8a@premiercorporation.com","active","9874"
"1001","Dynamic Solutions","user55d92c13@dynamicsolutions.com","active","7964"
"1001","Premier Corporation","userd3450499@premiercorporation.com","active","7967"
"1001","Advanced Solutions","user77309708@advancedsolutions.com","active","9387"
"1001","Integrated Industries","user9342e6bb@integratedindustries.com","active","2817"
"1001","Dynamic Industries","useraba19496@dynamicindustries.com","active","757"
"1001","Global Technologies","user58bab848@globaltechnologies.com","active","1405"
"1001","Integrated Solutions","user747705a3@integratedsolutions.com","active","1773"
"1001","Integrated Corporation","userf1b9324d@integratedcorporation.com","active","8668"
"1001","Global Corporation","user4aff0254@globalcorporation.com","active","9687"
"1001","Integrated Industries","user36e98178@integratedindustries.com","active","2357"
"1001","Advanced Enterprises","user0e9bac6b@advancedenterprises.com","active","2947"
"1001","Global Technologies","userddfdee4f@globaltechnologies.com","active","3595"
"1001","Dynamic Technologies","user34b5ccf4@dynamictechnologies.com","active","1381"
"1001","Integrated Corporation","user2ad17563@integratedcorporation.com","active","8867"
"1001","Global Industries","user0e4e7e24@globalindustries.com","active","1983"
"1001","Modern Services","usere5baaae4@modernservices.com","active","4639"
"1001","Premier Corporation","user1eb2902e@premiercorporation.com","active","1540"
"1001","Dynamic Industries","userfac1506f@dynamicindustries.com","active","8950"
"1001","Dynamic Technologies","usere963d32c@dynamictechnologies.com","active","1096"
"1001","Global Solutions","user17ab6e9d@globalsolutions.com","active","761"
"1001","Integrated Services","user0fbf7e05@integratedservices.com","active","4398"
"1001","Premier Solutions","user5dadcf47@premiersolutions.com","active","8333"
"1001","Global Solutions","user17bab7ee@globalsolutions.com","active","2417"
"1001","Global Solutions","user6a5b7c36@globalsolutions.com","active","8297"
"1001","Integrated Industries","user0158b7a2@integratedindustries.com","active","6241"
"1001","Modern Technologies","user97ca8428@moderntechnologies.com","active","3196"
"1001","Integrated Services","userec4f533a@integratedservices.com","active","8998"
"1001","Premier Services","user14469a22@premierservices.com","active","7517"
"1001","Advanced Technologies","user30a51f22@advancedtechnologies.com","active","2654"
"1001","Dynamic Services","userbde8ae8c@dynamicservices.com","active","7962"
"1001","Dynamic Industries","userf3e4636b@dynamicindustries.com","active","1927"
"1001","Premier Services","user46b38914@premierservices.com","active","4814"
"1001","Advanced Technologies","user6889ef73@advancedtechnologies.com","active","4055"
"1001","Global Services","user3a3618c3@globalservices.com","active","2546"
"1001","Modern Solutions","user85b96c3e@modernsolutions.com","active","3814"
"1001","Global Industries","userf3f16ffe@globalindustries.com","active","8829"
"1001","Modern Enterprises","user4736d053@modernenterprises.com","active","4420"
"1001","Modern Technologies","user9c88d577@moderntechnologies.com","active","8671"
"1001","Premier Services","user8a4b10f6@premierservices.com","active","4761"
"1001","Dynamic Solutions","usere86ecd76@dynamicsolutions.com","active","2832"
"1001","Advanced Industries","usere1a7c234@advancedindustries.com","active","7663"
"1001","Dynamic Services","usereff5c3fa@dynamicservices.com","active","37"
"1001","Integrated Corporation","user89b393cb@integratedcorporation.com","active","5872"
"1002","Premier Industries","user5a3004e9@premierindustries.com","active","5788"
"1002","Global Enterprises","user9053bfc8@globalenterprises.com","active","4982"
"1002","Modern Services","user005831bd@modernservices.com","active","4680"
"1002","Premier Corporation","userd2dccbe7@premiercorporation.com","active","7815"
"1002","Advanced Services","usera51b87a5@advancedservices.com","active","3216"
"1002","Advanced Technologies","user22b7a77b@advancedtechnologies.com","active","8908"
"1002","Global Technologies","usercf092999@globaltechnologies.com","active","7655"
"1002","Global Technologies","user7d8b5dee@globaltechnologies.com","active","2661"
"1002","Integrated Corporation","user1c0edc51@integratedcorporation.com","active","8295"
"1002","Integrated Enterprises","user33adb11a@integratedenterprises.com","active","2853"
"1002","Advanced Industries","user51e1c4f2@advancedindustries.com","active","9714"
"1002","Dynamic Enterprises","user63fe6885@dynamicenterprises.com","active","2866"
"1002","Premier Industries","user0634e75e@premierindustries.com","active","114"
"1002","Integrated Corporation","user602902f5@integratedcorporation.com","active","6178"
"1002","Premier Technologies","usera34c2da6@premiertechnologies.com","active","3823"
"1002","Modern Services","usera443029e@modernservices.com","active","9411"
"1002","Advanced Solutions","user55526db3@advancedsolutions.com","active","1750"
"1002","Modern Services","user3445a8a2@modernservices.com","active","2809"
"1002","Advanced Enterprises","user0bfda756@advancedenterprises.com","active","3812"
"1002","Integrated Services","userf8f38b01@integratedservices.com","active","900"
"1002","Modern Technologies","user73e8043b@moderntechnologies.com","active","6138"
"1002","Advanced Technologies","useraf871809@advancedtechnologies.com","active","340"
"1002","Integrated Services","user6009d600@integratedservices.com","active","3284"
